iχət	iχətλa	v;PRS;PASS[3SG]
jalań iki	jalań iket	nprop;PL
jalań iki	jalań ikeλ	nprop;SG<3SG
jalań iki	jalań ikeλən	nprop;SG<3SG;LOC
jalań iki	jalań iki	nprop
jalań iki	jalań ikijən	nprop;LOC
jalań jʉχ	jalań jʉχ	nprop;people
jali	jali	nprop
jam	jam	adj
jam	jamašik	adj;DLAT;COMPR
jam pɛlək	jam pɛlək	adv
jama	jama	adv
jaməs	jaməs	adv
jana	jina	adv
jaŋχ	jaŋti	v;INF
jaŋχ	jaŋti	v;PTCP.PRS
jaŋχ	jaŋλəm	v;PRS;1SG
jaŋχ	jaŋλəman	v;PRS;1DU
jaŋχ	jaŋλən	v;SG<3SG;2SG
jaŋχ	jaŋλət	v;PRS;3PL
jaŋχ	jaŋχa	v;IMP.2SG_
jaŋχ	jaŋχaλən	v;IMP.2DU
jaŋχ	jaŋχsəm	v;PST;1SG
jaŋχ	jaŋχsəmən	v;PST;1DU
jaŋχ	jaŋχten	v;PTCP.PRS;2SG
jaŋχ	jaŋχəm	v;PTCP.PST
jaŋχ	jaŋχəs	v;PST[3SG]
jaŋχ	jaŋχəλ	v;PRS[3SG]
jaŋχ	jaŋχλəm	v;PRS;1SG
jaŋχijəλ	jaŋχijəλ	v
jaŋχijəλ	jaŋχijəλsət	v;PST;3PL
jaŋχijəλ	jaŋχijəλəλ	v;PRS[3SG]
jaχa	jaχa	adv
jaχa akəm	jaχa akəmsət	v;PST;3PL
jaχa pit	jaχa pitsəŋən	v;PST;3DU
ji	jis	v;PST[3SG]
ji	jisen	v;PST;SG<2SG
ji	jisŋən	v;PST;3DU
ji	jisəm	v;PST;1SG
ji	jisət	v;PST;3PL
ji	jitaλ	v;PTCP.PRS;3SG
ji	jiteλ	v;PTCP.PRS;SG<3SG
ji	jiti	v;INF
ji	jiλ	v;PRS[3SG]
ji	jiλət	v;PRS;3PL
ji	jʉwa	v;IMP.2SG_
ji	jʉwmaλ	v;PTCP.PST;3SG
ji	jʉwmaλən	v;PTCP.PST;3SG;LOC
ji	jʉwmeλ	v;PTCP.PST;3SG
ji	jʉwəm	v;PTCP.PST
ji	jʉwəman	v;PTCP.PST;LOC
ji	jʉwəmən	v;PTCP.PST;LOC
jintəp	jintəpən	subs;LOC
jir	jir	subs
jir	jirman	v;CVB
jir	jirən	subs;LOC
jir	jirəs	v;PST[3SG]
jira	jira	adv
jirsaλə	jirsaλəsλe	v;PST;SG<3SG
jirənšək	jirənšək	adv
jirɛmə	jirɛməs	v;PST[3SG]
jirɛλta	jirɛλta	adv
jis jʉχ	jis jʉχ	subs
jisən	jisən	adv
jitpa	jitpa	adv
jiw	jiwλi	subs;ABE
jiwλap asλap	jiwλap asλap	adj
jiŋ wɵrt	jiŋ wɵrt	subs
